unique feature count: 2783
feature_name, unique_value, total_count
809013, 714, 5730
300009, 2639, 5724
669003, 473, 5605
20002, 519, 5570
669008, 2854, 5186
0732, 5, 5180
669007, 4057, 5168
1110, 870, 5164
300074, 872, 5070
809039, 795, 5038
004997, 1614, 4983
300007, 483, 4954
809037, 807, 4940
809038, 2303, 4940
809040, 2382, 4940
809041, 736, 4940
809042, 37, 4940
809043, 2012, 4940
809044, 697, 4940
809045, 3002, 4940
809046, 607, 4940
809047, 37, 4940
809048, 302, 4940
809049, 118, 4940
809050, 296, 4940
809051, 412, 4940
809052, 206, 4940
809053, 116, 4940
809054, 158, 4940
809055, 238, 4940
809056, 329, 4940
809057, 92, 4940
809058, 131, 4940
809059, 42, 4940
1319, 112, 4873
1320, 106, 4872
809060, 2403, 4735
809061, 109, 4735
279006, 406, 4688
809018, 321, 4667
809019, 826, 4644
3101, 155, 4630
300131, 7, 4533
3813, 42, 4523
1844, 236, 4521
300068, 1744, 4506
809022, 2772, 4486
A705, 15, 4397
809003, 530, 4363
300076, 1773, 4363
809027, 630, 4352
300070, 498, 4285
979024, 432, 4083
189, 706, 4043
3731, 5, 4030
1873, 679, 4028
809024, 190, 3933
979025, 230, 3919
300035, 1490, 3882
2371, 598, 3869
979010, 448, 3855
A701, 187, 3830
809002, 384, 3667
809029, 96, 3667
0986, 5, 3640
A703, 351, 3591
30006, 487, 3543
809007, 715, 3466
269026, 632, 3393
979026, 5, 3386
979027, 6, 3386
321, 1010, 3366
300078, 1541, 3364
1125, 479, 3305
2986, 636, 3294
809034, 266, 3176
2407, 857, 3102
809031, 398, 3054
809032, 491, 3053
809033, 1211, 3053
809020, 131, 3047
669024, 63, 2956
2282, 7, 2954
2390, 609, 2952
1331, 288, 2936
0218, 6, 2894
300006, 591, 2879
459154, 176, 2879
459155, 16, 2865
459156, 37, 2865
459158, 89, 2865
459159, 252, 2865
1124, 97, 2865
1337, 1727, 2836
0441, 12, 2823
0224, 3, 2718
3184, 207, 2710
319100, 1278, 2674
0104, 98, 2568
809035, 11, 2567
0105, 91, 2562
0106, 77, 2554
1335, 62, 2551
300048, 981, 2547
2410, 340, 2533
2412, 386, 2493
0109, 68, 2475
2165, 148, 2472
1363, 483, 2443
0108, 95, 2437
300044, 61, 2434
0107, 84, 2404
310, 216, 2362
311, 45, 2362
1842, 582, 2309
300067, 361, 2283
100008, 265, 2242
709001, 35, 2194
2421, 18, 2179
36, 30, 2131
300113, 729, 2099
0111, 63, 2053
809016, 742, 2052
0220, 4, 2027
3738, 5, 2020
300129, 1204, 1963
2168, 1899, 1947
1002, 312, 1941
300028, 1032, 1934
459161, 520, 1934
3725, 5, 1929
439032, 8, 1926
35, 137, 1902
10013, 1294, 1872
300069, 1007, 1839
30002, 7, 1790
300125, 402, 1741
2413, 34, 1722
809030, 368, 1716
2411, 406, 1716
819009, 423, 1709
819013, 646, 1709
819014, 334, 1709
819015, 822, 1709
819016, 260, 1709
819017, 48, 1709
2414, 25, 1709
300126, 740, 1708
459102, 101, 1706
0112, 114, 1702
0443, 2, 1695
300034, 1527, 1682
300119, 1488, 1676
459101, 22, 1671
229021, 5, 1635
819007, 605, 1628
279005, 283, 1620
279001, 826, 1619
069017, 10, 1590
809012, 560, 1572
0219, 4, 1571
300151, 899, 1569
0221, 4, 1565
3203, 71, 1564
819018, 254, 1547
300010, 551, 1493
3726, 5, 1489
819008, 792, 1458
819010, 833, 1458
819011, 325, 1458
819012, 70, 1458
819019, 191, 1458
819020, 404, 1458
819021, 422, 1458
819022, 231, 1458
819023, 122, 1458
819026, 387, 1458
819027, 152, 1458
819029, 102, 1458
300050, 397, 1443
300033, 207, 1430
809005, 464, 1424
2247, 890, 1419
0229, 4, 1415
669023, 171, 1414
809006, 516, 1403
10012, 864, 1373
809063, 24, 1358
300093, 464, 1355
0228, 5, 1355
300004, 13, 1354
809014, 622, 1352
300051, 875, 1347
709003, 164, 1329
300152, 1128, 1329
2163, 42, 1324
809011, 430, 1321
300150, 1132, 1299
3801, 612, 1291
0438, 67, 1278
300073, 375, 1256
1171, 34, 1229
3807, 354, 1203
1333, 2, 1197
279003, 313, 1195
0214, 5, 1158
3426, 6, 1153
300134, 891, 1146
300071, 758, 1146
3721, 8, 1140
1137, 136, 1138
3762, 38, 1136
1334, 44, 1122
819024, 205, 1118
3804, 497, 1116
3805, 408, 1116
2389, 243, 1090
2278, 8, 1086
300029, 416, 1079
709021, 114, 1074
709006, 119, 1073
709008, 110, 1073
709009, 29, 1073
709011, 87, 1073
709013, 70, 1073
709014, 15, 1073
3740, 6, 1059
3862, 8, 1059
709026, 190, 1049
3803, 422, 1048
20001, 488, 1044
269027, 440, 1028
3198, 16, 1006
809015, 551, 971
019001, 187, 965
3741, 14, 964
019003, 358, 949
339125, 22, 944
339126, 38, 944
339127, 66, 944
339128, 153, 944
339129, 94, 944
339130, 161, 944
339131, 148, 944
269029, 74, 930
269028, 161, 928
709002, 573, 916
019002, 545, 916
3742, 12, 911
184, 472, 899
A102, 96, 888
A101, 148, 885
300112, 383, 876
3705, 25, 873
300127, 346, 857
30001, 39, 851
21A002, 778, 849
2387, 530, 849
459211, 249, 848
459207, 261, 844
459206, 207, 841
459210, 309, 841
1336, 128, 838
1349, 674, 809
459343, 4, 805
709022, 233, 792
709004, 387, 791
709005, 306, 791
709007, 316, 791
709010, 242, 791
709012, 379, 791
709015, 223, 791
709016, 82, 791
709017, 221, 791
709018, 203, 791
709019, 104, 791
709020, 79, 791
709023, 247, 791
709024, 77, 791
709025, 97, 791
2901, 1, 783
699009, 640, 772
300020, 589, 771
279002, 366, 764
300099, 356, 756
709043, 51, 755
1341, 258, 745
3433, 3, 739
809028, 139, 733
819025, 54, 729
819028, 152, 729
269030, 14, 725
269031, 16, 725
137, 647, 718
300136, 242, 704
300062, 11, 683
669038, 273, 672
300087, 657, 665
019017, 77, 665
3703, 69, 664
0545, 191, 663
179161, 1, 663
179162, 2, 663
300086, 320, 659
A704, 170, 647
I49012, 17, 637
369108, 352, 623
0990, 3, 619
3303, 4, 614
3869, 9, 606
131, 90, 601
3701, 36, 601
3702, 39, 601
2250, 246, 601
3802, 259, 597
100011, 3, 595
069003, 118, 593
069004, 132, 593
459271, 22, 591
069002, 83, 590
2156, 449, 585
2161, 207, 584
300057, 294, 584
3302, 215, 578
0549, 459, 573
0550, 190, 573
0551, 1, 573
1343, 394, 571
1456, 384, 571
3427, 3, 547
069005, 195, 541
709027, 364, 540
269052, 314, 535
0544, 136, 533
989001, 3, 523
989002, 6, 523
989004, 26, 523
3205, 7, 520
3206, 1, 520
3211, 1, 520
3217, 1, 520
989003, 12, 520
0437, 56, 513
164, 409, 507
300015, 208, 498
1346, 101, 498
709048, 28, 495
I89001, 2, 485
157, 6, 482
300138, 38, 479
4501, 8, 475
459183, 130, 467
196, 126, 465
1812, 71, 464
1136, 98, 459
769005, 28, 458
459328, 282, 451
0227, 4, 448
279004, 197, 444
439015, 363, 444
459208, 117, 441
459209, 155, 440
069043, 1, 423
129, 116, 422
2424, 19, 421
2425, 19, 421
459329, 209, 411
I69003, 52, 411
I69004, 67, 411
I69005, 123, 411
A702, 88, 410
819030, 382, 410
819031, 79, 410
1816, 252, 407
669031, 21, 404
3200, 142, 396
269055, 10, 395
41097, 3, 390
899004, 325, 384
2392, 269, 383
799003, 23, 383
459342, 83, 380
7901, 1, 377
899006, 146, 376
899007, 139, 376
979028, 210, 375
459278, 69, 374
369044, 23, 372
D29011, 56, 371
1918, 72, 371
3810, 209, 368
669010, 244, 360
279034, 299, 353
3432, 1, 352
D29008, 76, 351
D29009, 63, 351
D29010, 107, 351
I49002, 50, 349
300081, 284, 349
669043, 144, 347
809036, 257, 346
300053, 117, 345
1105, 123, 344
300146, 272, 343
300120, 118, 342
300084, 246, 335
300054, 135, 332
30003, 204, 332
269044, 1, 332
300030, 279, 329
300031, 288, 328
166, 291, 326
899001, 81, 326
300022, 65, 325
L19008, 192, 322
439011, 204, 320
439014, 232, 320
669046, 271, 319
300121, 284, 319
1104, 136, 319
300122, 134, 316
300123, 209, 316
A502, 10, 315
3868, 54, 315
0444, 3, 315
759001, 87, 314
709031, 307, 313
300032, 295, 313
069044, 177, 313
069050, 210, 313
899005, 222, 311
3855, 3, 307
2285, 11, 306
300124, 267, 305
899003, 242, 303
669032, 4, 303
300130, 236, 303
21A004, 273, 297
159063, 109, 297
3816, 50, 296
3818, 47, 295
300003, 152, 291
21A014, 21, 287
669035, 16, 285
300072, 283, 285
1359, 274, 284
300025, 5, 282
20000, 75, 281
Y79001, 103, 281
A501, 35, 276
899022, 263, 272
Q99024, 2, 271
1461, 32, 270
439035, 50, 270
799009, 4, 265
3814, 21, 263
069023, 123, 261
165, 219, 258
0548, 7, 258
189010, 1, 255
1338, 59, 252
299168, 177, 251
2417, 37, 250
459212, 103, 247
300114, 217, 246
979037, 6, 245
979038, 3, 245
979052, 5, 245
979053, 3, 245
819006, 33, 245
989043, 48, 245
989065, 220, 245
2415, 40, 244
019015, 147, 244
0442, 46, 244
300137, 32, 243
300139, 6, 243
979039, 5, 241
979040, 2, 241
979041, 2, 241
979042, 2, 241
979043, 1, 241
979044, 5, 241
979045, 5, 241
979046, 3, 241
979047, 3, 241
979048, 2, 241
979049, 1, 241
979050, 2, 241
979051, 3, 241
979055, 2, 241
979074, 1, 241
979076, 3, 241
979088, 3, 241
21A235, 4, 239
21A236, 2, 239
21A237, 2, 239
21A238, 1, 239
1403, 51, 238
3732, 1, 238
2416, 29, 236
069007, 11, 236
300175, 80, 236
339120, 116, 235
339121, 198, 235
339122, 92, 235
339123, 185, 235
339124, 170, 235
J29004, 2, 235
J29005, 2, 235
J29006, 2, 235
J29007, 3, 235
8101, 1, 233
2451, 21, 232
2452, 144, 232
2453, 158, 232
2454, 16, 231
279039, 1, 230
069008, 59, 230
069010, 23, 229
346, 7, 229
300066, 81, 229
459239, 7, 227
459240, 7, 227
459241, 7, 227
459242, 7, 227
459243, 6, 227
459244, 6, 227
459245, 8, 227
459246, 7, 227
459247, 8, 227
459248, 7, 227
459249, 7, 227
459250, 7, 227
459251, 7, 227
459252, 6, 227
459253, 6, 227
459254, 7, 227
459255, 8, 227
459256, 6, 227
300111, 207, 225
979094, 194, 225
979092, 143, 224
979095, 125, 224
979096, 147, 224
979091, 176, 223
S39001, 12, 223
S39002, 42, 223
300075, 82, 221
979093, 148, 221
300173, 138, 220
134, 56, 217
799004, 4, 216
159053, 117, 215
459338, 142, 214
300080, 62, 214
300117, 144, 212
459318, 7, 211
459319, 6, 211
459321, 6, 211
839018, 163, 211
2502, 25, 211
C39002, 89, 207
979075, 1, 206
669014, 10, 206
459187, 6, 204
069049, 196, 204
300172, 147, 204
439017, 120, 202
179176, 109, 202
179177, 158, 202
179178, 123, 202
3811, 140, 201
2284, 6, 201
0131, 52, 201
300167, 154, 199
300177, 133, 199
300166, 166, 196
300168, 120, 196
300169, 40, 196
300170, 38, 196
300171, 7, 196
300174, 50, 196
300176, 14, 196
300178, 63, 196
300179, 117, 196
300180, 111, 196
300181, 59, 196
300182, 41, 196
300183, 34, 196
300184, 94, 196
300185, 119, 196
300186, 42, 196
300187, 18, 196
300188, 109, 196
300189, 55, 196
300190, 132, 196
0130, 62, 195
Y19001, 69, 194
019059, 148, 193
669044, 146, 190
909021, 53, 189
339106, 146, 189
339107, 156, 189
979029, 68, 188
21A017, 167, 186
100009, 4, 186
E49040, 1, 186
699001, 156, 185
699003, 180, 185
699004, 72, 185
699005, 172, 185
699006, 81, 185
439018, 91, 184
0735, 1, 182
659003, 3, 181
659004, 1, 181
459337, 164, 180
459320, 4, 179
214, 1, 179
229080, 77, 175
3208, 1, 175
3439, 3, 175
1471, 171, 173
I19001, 2, 173
3401, 24, 171
3402, 35, 171
300046, 4, 169
B301, 7, 167
I19027, 162, 165
659001, 2, 164
659002, 1, 164
659005, 2, 164
659006, 2, 164
659007, 1, 164
659008, 2, 164
659009, 4, 164
659010, 1, 164
659011, 3, 164
659012, 2, 164
659013, 2, 164
659014, 3, 164
659015, 2, 164
659016, 4, 164
659017, 3, 164
659018, 2, 164
659019, 2, 164
659020, 3, 164
659021, 1, 164
659022, 2, 164
659023, 2, 164
669025, 8, 164
T99001, 56, 164
T99002, 140, 164
459322, 4, 163
019008, 111, 162
A49018, 9, 161
439016, 132, 160
459108, 5, 159
1849, 139, 158
199118, 104, 157
3394, 1, 157
3755, 6, 154
339114, 66, 153
459331, 144, 152
459333, 141, 152
0448, 1, 151
0451, 1, 151
0452, 1, 151
300023, 2, 150
300088, 96, 150
909001, 102, 149
1332, 48, 148
300077, 70, 148
459327, 61, 147
529001, 6, 147
529002, 9, 147
A801, 85, 147
Q99002, 140, 147
319270, 1, 146
J39003, 2, 145
J39004, 2, 145
J39005, 2, 145
J39006, 11, 145
2423, 13, 145
2422, 14, 145
199113, 1, 145
899002, 117, 143
300089, 87, 143
669045, 64, 143
769008, 101, 142
P19033, 107, 141
10014, 132, 140
459182, 103, 140
1915, 25, 140
979054, 1, 139
300155, 5, 137
300156, 4, 137
E39001, 4, 137
739005, 89, 136
E39002, 5, 136
E39003, 5, 136
0733, 4, 135
41118, 12, 135
41119, 7, 135
459107, 3, 135
459109, 3, 135
459332, 126, 134
I49008, 12, 133
I49007, 36, 133
179120, 78, 130
319159, 121, 130
4955, 12, 129
459184, 30, 129
300064, 86, 128
269040, 2, 128
269041, 5, 128
269042, 3, 128
269045, 2, 128
669030, 5, 128
179163, 76, 127
459336, 102, 126
300143, 70, 126
300040, 4, 125
899021, 100, 125
300037, 97, 124
300038, 93, 124
459181, 46, 124
300039, 89, 122
669040, 49, 122
709039, 6, 121
4945, 8, 117
300060, 6, 117
4961, 11, 116
019049, 34, 116
019050, 31, 116
019051, 87, 116
019052, 45, 116
019053, 35, 116
019054, 22, 116
019055, 111, 116
019056, 36, 116
019032, 105, 116
019033, 112, 116
019034, 103, 116
019035, 114, 116
019036, 92, 116
019037, 26, 116
019038, 114, 116
019039, 100, 116
019040, 114, 116
019041, 94, 116
019042, 28, 116
019043, 74, 116
019044, 46, 116
019045, 89, 116
019046, 83, 116
019047, 55, 116
019048, 39, 116
E19001, 2, 116
E19002, 3, 116
509013, 92, 115
Q99001, 112, 114
10000, 109, 112
2157, 63, 111
21A012, 108, 111
909037, 47, 111
909038, 31, 111
909039, 51, 111
769006, 5, 110
2160, 30, 109
179099, 3, 109
179100, 5, 109
179101, 3, 109
179102, 3, 109
179103, 3, 109
179104, 3, 109
179105, 3, 109
179106, 4, 109
179107, 6, 109
179108, 4, 109
179109, 4, 109
179110, 4, 109
179111, 3, 109
179112, 4, 109
179113, 3, 109
179114, 3, 109
179115, 4, 109
179116, 3, 109
179187, 5, 109
179188, 5, 109
179190, 3, 109
179191, 3, 109
459330, 104, 108
019062, 48, 108
G99065, 1, 108
419008, 89, 107
300116, 36, 107
G99066, 1, 107
10005, 25, 106
1, 55, 106
B19024, 1, 106
300115, 25, 105
I49001, 11, 105
I49003, 8, 105
300118, 104, 105
0445, 2, 105
0449, 2, 105
0450, 2, 105
0446, 2, 104
0447, 1, 104
2235, 4, 103
2245, 6, 102
41002, 8, 102
459169, 3, 102
459141, 87, 102
319122, 2, 102
319124, 2, 102
319125, 1, 102
319127, 2, 102
319128, 2, 102
319129, 1, 102
319130, 3, 102
319131, 2, 102
319132, 2, 102
319133, 2, 102
319134, 2, 102
319135, 1, 102
319136, 2, 102
319137, 3, 102
319138, 2, 102
319139, 2, 102
319140, 3, 102
319141, 2, 102
319142, 3, 102
319143, 1, 102
319144, 1, 102
319145, 1, 102
186, 30, 102
459168, 2, 101
459223, 5, 101
459225, 5, 101
459226, 8, 101
459228, 6, 101
J29018, 83, 99
21A062, 2, 97
21A134, 2, 97
21A135, 1, 97
21A136, 1, 97
21A137, 2, 97
21A138, 1, 97
21A139, 1, 97
21A140, 1, 97
21A141, 3, 97
21A142, 1, 97
21A143, 1, 97
21A144, 1, 97
21A145, 1, 97
21A146, 1, 97
21A147, 2, 97
21A148, 2, 97
21A151, 2, 97
21A153, 3, 97
21A154, 1, 97
21A155, 1, 97
21A157, 3, 97
21A158, 1, 97
019004, 97, 97
019007, 96, 97
279047, 4, 97
4564, 2, 96
8001, 9, 96
300132, 3, 95
187, 63, 93
179118, 3, 93
A602, 2, 92
X19011, 89, 92
2227, 2, 90
179226, 90, 90
7701, 11, 90
C19103, 82, 89
2277, 52, 87
459340, 48, 87
179175, 2, 87
1123, 77, 86
369007, 72, 86
669015, 5, 84
669016, 6, 84
669017, 5, 84
669019, 5, 84
669029, 6, 83
129056, 72, 83
129057, 78, 83
129058, 55, 83
369098, 70, 82
K29002, 82, 82
369008, 33, 81
729028, 74, 80
21A149, 3, 80
21A150, 2, 80
21A152, 1, 80
21A156, 1, 80
459193, 5, 80
D19047, 1, 80
559007, 77, 79
669018, 3, 79
U99006, 1, 79
U99007, 2, 79
U99008, 1, 79
U99009, 2, 79
I89005, 4, 77
669027, 5, 76
179189, 3, 76
319187, 2, 76
319188, 1, 76
319189, 1, 76
3739, 2, 75
2809, 4, 75
K99005, 1, 75
A49010, 4, 74
A49011, 4, 74
A49012, 1, 74
A49013, 1, 74
A49014, 1, 74
A49015, 2, 74
769019, 58, 73
459116, 69, 73
459117, 65, 73
300102, 4, 71
300059, 40, 71
K89001, 3, 71
K89002, 17, 71
K89003, 5, 71
4313, 4, 68
129079, 66, 68
D29007, 68, 68
378, 44, 67
2381, 7, 67
G49050, 46, 67
669034, 3, 66
0547, 36, 66
3856, 2, 66
0125, 33, 66
709044, 63, 65
140, 65, 65
509006, 58, 65
21A105, 8, 64
319273, 47, 64
X19003, 60, 64
539004, 19, 63
0230, 3, 63
559046, 61, 63
559047, 56, 63
2266, 1, 62
2300, 2, 62
459165, 2, 62
4888, 1, 62
3783, 4, 62
339105, 62, 62
669033, 3, 61
369085, 61, 61
339135, 44, 61
969081, 2, 61
709030, 38, 60
E49035, 1, 60
E49036, 1, 60
21A021, 47, 59
1450, 26, 59
D19048, 2, 59
319298, 55, 58
319281, 24, 56
D59016, 3, 56
300091, 4, 55
769003, 42, 55
E49029, 3, 55
1451, 19, 54
2382, 5, 54
069048, 36, 54
1362, 35, 54
P79002, 8, 54
1702, 8, 53
1703, 37, 53
669028, 6, 53
I19018, 3, 53
I19019, 3, 53
I19021, 2, 53
S49001, 5, 53
4937, 8, 52
B201, 25, 52
X19001, 51, 52
X19002, 52, 52
H39014, 51, 52
979085, 41, 51
529106, 33, 50
509011, 50, 50
369094, 43, 50
2287, 15, 50
279028, 48, 50
279053, 50, 50
300148, 2, 50
G99069, 44, 50
G99068, 47, 50
669026, 6, 49
4934, 4, 49
21A051, 42, 49
269056, 44, 49
269057, 47, 49
269058, 49, 49
E39012, 29, 49
459227, 6, 48
459229, 6, 48
1135, 46, 48
B102, 14, 48
I19003, 3, 48
I19032, 3, 48
41076, 4, 48
4621, 3, 48
4861, 1, 48
H49005, 3, 48
300097, 3, 47
0453, 1, 47
0455, 1, 47
G99024, 47, 47
B39002, 7, 47
4307, 7, 46
2272, 4, 46
769004, 37, 45
319215, 9, 45
319216, 10, 45
383, 37, 45
2162, 43, 45
979090, 34, 45
300042, 44, 44
069046, 35, 44
949011, 1, 43
929017, 42, 42
989048, 36, 42
374, 38, 41
W99001, 31, 41
300043, 39, 40
339119, 35, 40
C49001, 1, 40
319179, 6, 39
W19001, 39, 39
579088, 37, 38
3727, 1, 38
3729, 1, 38
699007, 18, 37
300045, 2, 37
269047, 1, 36
1118, 20, 36
339101, 3, 36
3817, 34, 35
809070, 8, 35
V79002, 35, 35
1391, 31, 35
979077, 1, 35
979086, 1, 35
979087, 1, 35
C19002, 1, 35
C19003, 2, 35
C19004, 1, 35
C19005, 1, 35
C19006, 1, 35
C19007, 1, 35
C19008, 1, 35
C19009, 1, 35
C19010, 2, 35
C19011, 1, 35
C19012, 1, 35
C19013, 2, 35
C19014, 1, 35
C19015, 2, 35
C19016, 1, 35
C19017, 1, 35
C19018, 1, 35
C19019, 1, 35
C19020, 1, 35
C19021, 1, 35
C19023, 1, 35
C19024, 1, 35
C19030, 1, 35
C19031, 1, 35
C19107, 1, 35
A59003, 7, 35
459334, 31, 34
459303, 32, 34
343, 30, 34
279040, 34, 34
279041, 32, 34
279042, 34, 34
279043, 34, 34
J29062, 20, 34
3806, 32, 33
769001, 33, 33
179221, 2, 33
179222, 2, 33
179223, 2, 33
179224, 2, 33
179225, 2, 33
20004, 33, 33
2234, 3, 33
769002, 24, 32
559131, 22, 32
J29044, 31, 31
G99070, 31, 31
229022, 2, 31
J29110, 30, 31
319107, 6, 30
319108, 4, 30
299184, 2, 30
319293, 25, 30
369107, 23, 30
G99011, 29, 30
2225, 1, 29
709032, 6, 29
F69053, 2, 29
21A013, 1, 29
300101, 29, 29
019058, 28, 29
369032, 27, 29
300145, 28, 28
300165, 28, 28
Y29001, 1, 28
319185, 28, 28
4503, 3, 28
319279, 25, 27
319280, 24, 27
319282, 10, 27
319283, 24, 27
319284, 9, 27
319285, 1, 27
319286, 16, 27
319287, 6, 27
319288, 11, 27
319289, 25, 27
319290, 3, 27
319291, 4, 27
319292, 1, 27
129061, 27, 27
129062, 25, 27
129063, 25, 27
069066, 22, 27
G99059, 9, 27
979073, 1, 27
C89005, 20, 27
319240, 3, 26
319103, 10, 26
069020, 25, 26
T59003, 1, 26
T59004, 2, 26
T59005, 1, 26
T59006, 1, 26
T59007, 2, 26
179174, 25, 26
319123, 1, 26
769007, 16, 26
P79001, 26, 26
J29099, 1, 26
729005, 1, 25
W69003, 18, 25
909023, 24, 25
J29049, 1, 25
D59022, 6, 25
0226, 2, 24
300024, 8, 23
459191, 22, 23
3437, 3, 23
339102, 1, 23
2270, 3, 23
2176, 23, 23
U99001, 5, 23
U99003, 5, 23
U99004, 2, 23
U99005, 1, 23
P59001, 4, 23
P59002, 1, 23
P59003, 4, 23
J29101, 19, 23
